,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI,OBV
123,1462233600,451.54,441.55,444.18,49749.84,22292253.48,450.27,direct,,2016-05-03,0.308139227,0.0,443.4247619047619,56.98050536832844,722737.8900000004
124,1462320000,450.87,444.22,450.27,39440.84,17676609.71,445.8,direct,,2016-05-04,0.236595147,0.0,444.48809523809524,53.41253761857051,683297.0500000004
125,1462406400,449.19,444.35,445.8,41887.49,18765369.38,448.08,direct,,2016-05-05,0.206481467,0.0,445.6338095238095,54.9616713012385,725184.5400000004
126,1462492800,461.48,445.72,448.08,68429.7,31122708.07,459.56,direct,,2016-05-06,0.207814038,0.0,447.1047619047619,61.841838709447266,793614.2400000003
127,1462579200,460.61,454.6,459.56,30971.06,14247601.97,458.46,direct,,2016-05-07,0.268991745,0.0,448.45761904761906,60.882124295917926,762643.1800000003
128,1462665600,460.18,454.94,458.46,27597.1,12689581.18,457.87,direct,,2016-05-08,0.350493248,0.0,449.9628571428572,60.341223345960366,735046.0800000003
129,1462752000,464.18,455.38,457.87,48422.16,22322043.96,460.44,direct,,2016-05-09,0.32658676,0.0,451.5223809523809,61.927942588331085,783468.2400000003
130,1462838400,462.14,446.81,460.44,59992.45,27247925.23,449.36,direct,,2016-05-10,0.360457148,0.0,452.21,52.22637378297827,723475.7900000004
131,1462924800,456.15,449.59,449.36,39965.14,18137209.37,452.5,direct,,2016-05-11,0.377398858,0.0,452.75,54.40626613277021,763440.9300000004
132,1463011200,455.34,448.4,452.5,49186.86,22252919.49,454.43,direct,,2016-05-12,0.32809292,0.0,452.992380952381,55.74298866000082,812627.7900000004
133,1463097600,457.22,451.49,454.43,32389.98,14768796.02,455.41,direct,,2016-05-13,0.2816623,0.0,453.47476190476186,56.44132432805103,845017.7700000004
134,1463184000,457.74,453.58,455.41,20360.7,9319128.91,456.44,direct,,2016-05-14,0.37939752,0.0,453.77761904761905,57.205625727388025,865378.4700000003
135,1463270400,460.28,455.0,456.44,21196.42,9745309.9,458.11,direct,,2016-05-15,0.301464562,0.0,453.8038095238095,58.47776494097871,886574.8900000004
136,1463356800,459.57,450.73,458.11,36601.5,16731954.01,454.87,direct,,2016-05-16,0.274630999,0.0,453.4771428571429,55.05810855504682,849973.3900000004
137,1463443200,456.3,451.71,454.87,34628.34,15741822.36,453.25,direct,,2016-05-17,0.335701079,0.0,452.87,53.377357240487925,815345.0500000004
138,1463529600,456.65,452.35,453.25,32606.95,14884550.93,454.22,direct,,2016-05-18,0.265520876,0.0,453.2133333333333,54.2773824215301,847952.0000000003
139,1463616000,455.19,441.12,454.22,59385.1,26626097.5,442.66,direct,,2016-05-19,0.273243062,0.0,452.93619047619046,43.49991011311508,788566.9000000004
140,1463702400,447.76,435.42,442.66,48431.62,21415312.04,442.11,direct,,2016-05-20,0.305116257,0.0,452.32333333333327,43.061803534700665,740135.2800000004
141,1463788800,445.24,439.73,442.11,22999.29,10213550.36,443.64,direct,,2016-05-21,0.317653631,0.0,452.09047619047624,44.7294300157088,763134.5700000004
142,1463875200,444.24,436.94,443.64,28739.45,12691382.29,439.62,direct,,2016-05-22,0.409731103,0.0,451.48952380952386,41.30624699377668,734395.1200000005
143,1463961600,444.99,438.24,439.62,35897.23,15885933.69,443.69,direct,,2016-05-23,0.328750073,0.0,451.4661904761905,45.82663398005104,770292.3500000004
144,1464048000,447.9,442.02,443.69,33214.62,14837671.76,446.11,direct,,2016-05-24,0.449447658,0.0,451.2680952380952,48.37269512871986,803506.9700000004
145,1464134400,451.21,445.35,446.11,37716.29,16954105.43,449.78,direct,,2016-05-25,0.354407403,0.0,451.45761904761906,52.05296877924596,841223.2600000005
146,1464220800,454.25,447.67,449.78,37715.9,17093327.23,453.3,direct,,2016-05-26,0.31587239,0.0,451.70619047619056,55.34124683853206,878939.1600000005
147,1464307200,479.22,452.71,453.3,135674.57,63894987.38,474.05,direct,,2016-05-27,0.248271606,0.0,452.39619047619044,68.8871231100014,1014613.7300000004
148,1464393600,531.76,467.05,474.05,150172.04,75400711.07,524.22,direct,,2016-05-28,0.380993602,0.0,455.52761904761905,82.6164574112104,1164785.7700000005
149,1464480000,548.04,493.22,524.22,152570.22,80753301.33,516.05,direct,,2016-05-29,0.328479916,0.0,458.29809523809524,76.68219832989192,1012215.5500000005
150,1464566400,544.18,512.81,516.05,77528.43,41433165.43,532.26,direct,,2016-05-30,0.280089648,0.0,461.7180952380953,79.78478511541346,1089743.9800000004
151,1464652800,546.92,513.15,532.26,114080.03,60896411.69,528.92,direct,,2016-05-31,0.309983427,0.0,465.50666666666666,77.49672301124974,975663.9500000004
152,1464739200,542.26,521.3,528.92,72406.45,38742660.86,537.4,direct,,2016-06-01,0.300619116,0.0,469.54952380952386,79.13294756195843,1048070.4000000004
153,1464825600,541.55,530.47,537.4,52877.98,28380698.71,537.1,direct,,2016-06-02,0.245010202,0.0,473.4861904761904,78.91434101769936,995192.4200000004
154,1464912000,573.72,534.34,537.1,106250.27,59464310.87,567.03,direct,,2016-06-03,0.302581976,0.0,478.8014285714286,83.7403416769723,1101442.6900000004
155,1464998400,592.68,560.87,567.03,87411.46,50353517.34,571.95,direct,,2016-06-04,0.271401209,0.0,484.3019047619048,84.37348972127809,1188854.1500000004
156,1465084800,583.64,567.77,571.95,64520.22,37233994.18,574.91,direct,,2016-06-05,0.358192205,90.19695168551208,489.8638095238096,84.75803381040132,1253374.3700000003
157,1465171200,586.73,571.67,574.91,63682.81,37131086.56,583.58,direct,,2016-06-06,0.29882585,90.22042528983071,495.99285714285713,85.85595188093544,1317057.1800000004
158,1465257600,591.32,543.63,583.58,84694.25,49082472.71,575.58,direct,,2016-06-07,0.240175131,90.34076377831313,501.8180952380952,80.12098650676514,1232362.9300000004
159,1465344000,582.44,567.78,575.58,49604.16,28706216.31,580.51,direct,,2016-06-08,0.288769892,90.1822047198361,507.8319047619048,80.9648241616683,1281967.0900000003
160,1465430400,580.71,569.26,580.51,48613.35,28010575.91,574.69,direct,,2016-06-09,0.302019929,90.24075071776025,514.1190476190476,76.81915766171315,1233353.7400000002
161,1465516800,579.26,571.14,574.69,45501.86,26290866.62,577.89,direct,,2016-06-10,0.322247158,90.11766122193431,520.584761904762,77.5012879284535,1278855.6000000003
162,1465603200,592.61,576.29,577.89,42217.02,24790441.26,591.6,direct,,2016-06-11,0.407663431,90.14380617832288,527.6304761904762,80.19082020475179,1321072.6200000003
163,1465689600,683.85,592.79,591.6,217379.53,139684630.33,666.55,direct,,2016-06-12,0.341134429,90.34398703817777,538.4366666666667,88.37340498250708,1538452.1500000004
164,1465776000,718.24,652.78,666.55,216731.32,149442548.73,700.07,direct,,2016-06-13,0.336656015,91.39125589264619,550.645238095238,90.30267504397483,1755183.4700000004
165,1465862400,702.52,654.69,700.07,135648.79,92458349.24,685.14,direct,,2016-06-14,0.346895609,91.76077748100604,562.0276190476192,83.64502339208585,1619534.6800000004
166,1465948800,695.07,670.45,685.14,78620.97,53863568.9,690.77,direct,,2016-06-15,0.287165654,91.54045528392851,573.5033333333333,84.12045896001571,1698155.6500000004
167,1466035200,769.73,687.43,690.77,229569.22,169704647.02,761.21,direct,,2016-06-16,0.336595688,91.5708822706055,588.1657142857143,88.58970489628794,1927724.8700000003
168,1466121600,771.89,704.21,761.21,215870.36,160302360.32,743.9,direct,,2016-06-17,0.27592477,92.30307589090174,601.0157142857142,82.44865945992231,1711854.5100000002
169,1466208000,776.04,727.13,743.9,120525.37,91056993.79,753.77,direct,,2016-06-18,0.294704364,92.07634978723218,611.9466666666667,83.16524908934608,1832379.8800000004
170,1466294400,765.1,740.38,753.77,60445.37,45805980.62,761.04,direct,,2016-06-19,0.343956163,92.1315116133469,623.6128571428571,83.69336177975634,1892825.2500000005
171,1466380800,764.6,717.41,761.04,112290.09,83637617.46,733.97,direct,,2016-06-20,0.332584737,92.15557481224052,633.2180952380953,74.34165918927484,1780535.1600000004
172,1466467200,732.23,626.05,733.97,248083.39,166828425.88,667.38,direct,,2016-06-21,0.231468348,91.8192564914585,639.8114285714286,57.36198695417446,1532451.7700000005
